Query,Rank,Document,BM25 Score,Doc Length
immigration border wall,1,speech_46,2.2432305138521933,1054
immigration border wall,2,speech_47,2.152096994545176,1267
immigration border wall,3,speech_49,2.147624008173176,1042
immigration border wall,4,speech_48,2.122559402786333,1212
immigration border wall,5,speech_37,2.1120431716816004,1815
economy jobs growth,1,speech_26,4.603366955504991,1923
economy jobs growth,2,speech_49,3.7307102086908532,1042
economy jobs growth,3,speech_31,3.6856675591083357,1383
economy jobs growth,4,speech_23,3.3671639624392444,958
economy jobs growth,5,speech_14,3.0125249125052207,951
healthcare affordable care,1,speech_54,3.9161455510306213,1294
healthcare affordable care,2,speech_52,3.7010806201503206,1465
healthcare affordable care,3,speech_25,3.6531726874081314,1056
healthcare affordable care,4,speech_24,3.550879222236076,1152
healthcare affordable care,5,speech_30,3.4327791136504997,1564
trade china tariffs,1,speech_32,3.84109824641709,1328
trade china tariffs,2,speech_26,3.3626074769674315,1923
trade china tariffs,3,speech_40,3.2178184613602907,1640
trade china tariffs,4,speech_39,3.157505614132235,1696
trade china tariffs,5,speech_7,2.5808417431595947,3046
election voting fraud,1,speech_48,5.723531184468162,1212
election voting fraud,2,speech_47,4.84143366842155,1267
election voting fraud,3,speech_46,4.191388909944999,1054
election voting fraud,4,speech_54,3.392805224942278,1294
election voting fraud,5,speech_45,3.304189749515726,1284
military defense spending,1,speech_17,6.299423111296906,1518
military defense spending,2,speech_2,5.492294303598653,2102
military defense spending,3,speech_26,3.974310930543807,1923
military defense spending,4,speech_24,3.5392044167731105,1152
military defense spending,5,speech_38,3.295230838946104,628
tax reform cuts,1,speech_17,4.236165056576418,1518
tax reform cuts,2,speech_46,4.086236266527302,1054
tax reform cuts,3,speech_6,3.0844561255032206,2292
tax reform cuts,4,speech_26,2.5689140885742328,1923
tax reform cuts,5,speech_31,2.544798384346275,1383
america great again,1,speech_13,0.25413581102936744,726
america great again,2,speech_20,0.25266689878931725,1623
america great again,3,speech_4,0.25197202070661917,2123
america great again,4,speech_0,0.24905227297069943,3578
america great again,5,speech_15,0.2475949202830935,889
